,MVO,Decision Tree,Decision Tree (tuned),Random Forest,Random Forest (tuned),Gradient boosting,Gradient boosting (tuned)
2020-04-23,0.0018885082524513225,0.002327765688819883,0.0017803941056558216,0.0015814688657599116,0.0017380918544500701,0.0020846968980829514,0.0018754056886794764
2020-04-24,0.002930648217812757,0.0053648670753152555,0.005107581887292694,0.005075207955256294,0.005242901281928683,0.005409984099923566,0.005717248629932902
2020-04-27,0.0003827715297666733,0.013137042401806378,0.011990713543962628,0.012531869379233129,0.012347931590536817,0.012762171701197091,0.013232771796036989
2020-04-28,0.0023616607499690133,0.004531210770242126,0.004524627222670746,0.00458243643704913,0.004498138977519483,0.005481428353177653,0.004870645484599509
2020-04-29,0.006853455907024101,0.01836839061922228,0.01689229494553064,0.019239955316734166,0.017307392144917673,0.018514491495524536,0.0183197460860832
2020-04-30,-0.004621848586310692,-0.008623034681862419,-0.00929766993787017,-0.009643423508092112,-0.009560862770492975,-0.010242798714930902,-0.010408647380790264
2020-05-01,-0.006201605011971886,-0.01187124763645709,-0.015327151758973243,-0.012969929082931852,-0.015808571015578744,-0.017794013598563873,-0.01586080403324587
2020-05-04,0.0015224233529116335,0.0006620345391911721,0.0011620269462203773,0.0011163194134088431,0.0010764424937333291,0.0012560677706450712,0.001070345520204616
2020-05-05,0.0014989025676832907,0.003436555907100957,0.0028873456868253244,0.0036206164139231454,0.00297518224416757,0.003980329231499869,0.003028478437407934
2020-05-06,-0.004354944048423097,-0.005816938976966259,-0.006805573388526058,-0.006004668654973541,-0.006956801271353447,-0.0076876473925725115,-0.00692320348146643
2020-05-07,0.005350096238811361,0.006726416439752041,0.007460377881302678,0.006976819331247939,0.007798241492555502,0.008866531778815676,0.007879223080808484
2020-05-08,0.002189077432595374,0.008903188694673731,0.012452825141652673,0.009720110036569831,0.012877969324218063,0.014646885748336693,0.01292277836821313
2020-05-11,-0.0022956094512734558,-0.0011748743570925329,-0.0030431822104944163,-0.0015028176897311915,-0.003128929812611504,-0.0030744669828748463,-0.0030706270915859903
2020-05-12,-0.002808537836065886,-0.0071766351488833525,-0.009595649148447164,-0.007322965125969033,-0.010232716323076659,-0.011508136599296205,-0.010271222231879297
2020-05-13,-0.0032743907190601208,-0.007813638370846265,-0.010151102306768918,-0.008072193941823695,-0.010642706239133305,-0.012144806579767287,-0.010629593771151222
2020-05-14,0.004817306157260894,0.003390771659487715,0.00370884619122513,0.003776607702905475,0.0037918934038792835,0.004503066011495041,0.003707072570574807
2020-05-15,0.0018220686147542816,0.0008559258616513596,0.00018365467384689923,0.0004891825676457311,0.0004302043154697681,0.0005936525934170502,0.0004514597880129399
2020-05-18,0.006366321653842942,0.019021289587491545,0.024692077384672162,0.020336154126207928,0.025493261926933755,0.0290556452781724,0.025648123609570098
2020-05-19,-0.0015404036229589807,-0.004664606192386143,-0.006061853180496306,-0.004910784829968291,-0.006351647809504492,-0.007017203578915419,-0.0063864542097201195
2020-05-20,0.006163716795947958,0.010724749969520622,0.012008280489144898,0.011212372054497502,0.012356275613904958,0.014596965925925891,0.012449173806575481
2020-05-21,-0.0007632382303180682,-0.002625555426074691,-0.002184104977733435,-0.0026929274349600987,-0.0023078738416029312,-0.002600492450011793,-0.002398038087215966
2020-05-22,0.0010330235218091116,-0.0015115041837077828,-0.002516406181755101,-0.002177882488647172,-0.002241533110313109,-0.002735623860181477,-0.0022437121324812882
2020-05-26,0.0018949266764267455,0.010624074443971824,0.014352147857011027,0.011258114232256873,0.014906742766591517,0.016730074385615135,0.015051073840859434
2020-05-27,0.004689480724850108,0.007076997676101267,0.00890676686231395,0.007212103524738354,0.00942785557126323,0.0104376605753401,0.009432542419675834
2020-05-28,-0.0013060492358622018,-0.0004258831121242211,-0.0023538556813949185,-0.0009874168984273096,-0.002453539235140515,-0.0031299871016515967,-0.0024182092788067816
2020-05-29,0.0027970653813850113,0.0027220906721964182,0.002441746379359672,0.003338920450839161,0.0020876672470273804,0.0023678345131464018,0.0020143134880979893
2020-06-01,0.0011075937275357242,0.007855432502919927,0.007309049899002868,0.008066359695601353,0.007565524493618884,0.008622853812586796,0.007658383624881407
2020-06-02,0.002380420703318776,0.006329002199793056,0.0073176522643837155,0.006468137369421955,0.00723323520821108,0.008470387400288461,0.007359772606519467
2020-06-03,0.0016444264323412295,0.010793228675372824,0.012802368483493452,0.011301211191958493,0.012353687560644984,0.014045312159270627,0.012342118479068399
2020-06-04,-0.0030253970958672685,-0.0004225647655369724,-0.00018246113298888084,-0.00035923184642957606,-0.0001191763904216886,-3.114070340567293e-05,-0.0001303135497777014
2020-06-05,0.006308360959624643,0.013121122005375591,0.015986924549417934,0.01349600236258324,0.015104040737498972,0.01690933088516138,0.015039500322717978
2020-06-08,0.003954503554139016,0.008623252997844852,0.010228577790026719,0.008855333297808935,0.009866435953919018,0.010923114118363508,0.009823452185303103
2020-06-09,-0.001093023058369887,-0.0062015875992472705,-0.00835966639965625,-0.00653636842555822,-0.007774495766530075,-0.008754552919256382,-0.007710423166309693
